id,name,department,educational_level,university_name,city,budget_places,paid_places,tuition_fee,passing_score,entrance_subjects,duration,study_form,language,accreditation,subjects,url,last_updated
1,Фундаментальная математика и механика,Механико-математический факультет,специалитет,Московский государственный университет имени М.В. Ломоносова,Москва,268,60,512810,322,"математика, физика, русский язык",6,очная,русский,TRUE,"Философия; Численные методы; Физика; Функциональный анализ; Комплексный анализ; Уравнения в частных производных; Теория вероятностей; Математическая статистика; Теоретическая механика; Системное и прикладное программное обеспечение; Основы формирования инклюзивного взаимодействия; Экономика; Психология и педагогика; Саморазвитие и гражданская позиция в профессиональной деятельности; Асимптотические методы; Элективные курсы по физической культуре и спорту; Вариационное исчисление и методы оптимизации; Теория случайных процессов; Основы и математические модели механики сплошной среды; Теория оптимального управления; Теория чисел; Динамика дискретных систем; Базы данных и экспертные системы; Теоретические основы и методика преподавания физико-математических дисциплин и информатики; Физико-механический и математический практикум; Управление, обработка информации и оптимизация; Теория групп; Интегральные уравнения; Топологические векторные пространства",https://math.msu.ru/educational-programs,13.01.2026
2,Прикладная математика и информатика,Институт компьютерных и инженерных наук,бакалавриат,Амурский государственный университет,Благовещенск,17,10,185100,152,"математика, физика, информатика, русский язык",4,очная,русский,TRUE,"Философия; История России; Иностранный язык; Безопасность жизнедеятельности; Физическая культура и спорт; Русский язык и деловая коммуникация; Правовые основы антикоррупционного поведения; Тайм-менеджмент; Основы российской государственности; Основы проектной деятельности; Основы экономических знаний; Введение в профессию; Алгебра и геометрия; Математический анализ; Цифровая грамотность; Программирование; Физика; Архитектура компьютеров; Основы программирования на Python; Дифференциальные уравнения; Комплексный анализ; Дискретная математика; Численные методы; Уравнения в частных производных; Теория вероятностей и математическая статистика; Методы оптимизации; Операционные системы; Базы данных; Системы искусственного интеллекта; Основы web-программирования; Компьютерные сети; Языки и методы программирования; Математическое и компьютерное моделирование; Информационная безопасность; Администрирование баз данных; Java-технологии; Разработка приложений на аналитических платформах; Современные информационные технологии; Программное обеспечение вычислительных сетей и систем; Профессиональный иностранный язык; Деловой иностранный язык; Информационные системы в экономике; Информационные технологии в экономике; Методы анализа и цифровая обработка изображений; Компьютерная графика; Общая физическая подготовка; Легкая атлетика; Спортивные игры; Прикладные пакеты векторной графики; Цифровая трансформация бизнес-процессов; Современная электроэнергетика; Цифровые технологии в профессиональной деятельности; История и культура Дальнего Востока; Логистика в международном бизнесе; Аналитический контроль качества нефтепродуктов; Неразрушающие методы контроля; Технологии бизнес-проектирования; Маркетинговые исследования и ситуационный анализ; Интеллектуальная собственность: от идеи до патента; Дизайн цифровых продуктов; Правовое регулирование цифровых финансовых активов, цифровой валюты; Право интеллектуальной собственности; Мастерство публичного выступления; Иностранный язык для путешествий; Психология личностного роста и развития; Софт скилла; Деловой иностранный язык (английский); Деловой этикет на Востоке; Инвестиционный менеджмент; История культуры и искусства Амурской области; Адаптивный курс математики; Методика проведения научно-исследовательских работ; Python. Анализ данных; Конфликтология; Энергосбережение и энергоэффективность; Дизайн оформления документов; Иностранный язык для специальных целей; Производственная и энергетическая безопасность; Экономическая политика РФ; Имидж, стиль и мода в профессиональной деятельности; Правовое регулирование деятельности в сети интернет; Создание медиатекстов; Основы визуализации данных",https://amursu.ru/postuplenie/programs/po-napravleniyu-podgotovki-prikladnaya-matematika-i-informatika-v-tselom/,13.01.2026
3,Прикладная математика и информатика,"Институт математики, естественных и компьютерных наук",бакалавриат,Вологодский государственный университет,Вологда,25,5,154030,194,"математика, физика, информатика, русский язык",4,очная,русский,TRUE,"История России; Философия; Иностранный язык; Безопасность жизнедеятельности; Физическая культура и спорт; Компьютерная графика; Интернет-технологии; Практикум на электронно-вычислительных машинах; Операционная система UNIX; Серверы в ОС UNIX; Современные операционные системы; Безопасность компьютерных систем; Введение в машинное обучение; Системы искусственного интеллекта; Основы теории нейронных сетей; Комбинаторные методы в программировании; Введение в специальность; Математический анализ; Теория функций и функциональный анализ; Дифференциальные уравнения; Теоретическая механика; Дискретная математика; Алгебра; Численные методы; Теория вероятностей; Математическая статистика; Структуры данных и алгоритмы; Языки программирования и методы трансляции; Базы данных; Теория игр и исследование операций; Компьютерные технологии; Программирование; Архитектура компьютера и язык ассемблера; Элементы теории случайных процессов; Уравнения математической физики; Сетевые операционные системы; Комплексный анализ; Методы оптимизации; Элементы математического моделирования; Арифметические основы криптографии; Введение в криптографию; Математические модели в естествознании; Экономика и программирование бухгалтерских систем; Математическая логика и теория алгоритмов; Геометрия; Проектная деятельность; Технологическое предпринимательство; Основы права и противодействие экстремизму, терроризму и коррупции; Русский язык и деловая коммуникация; Психология профессиональной деятельности; Иностранный язык в профессиональной деятельности; Основы экономической культуры и финансовой грамотности; Охрана окружающей среды; Основы российской государственности; Элективные дисциплины по физической культуре и спорту (Волейбол, Баскетбол, Настольный теннис, Мини-футбол, Функциональное многоборье, Оздоровительная гимнастика); Профессиональная этика и этикет; Имиджелогия; Английский язык",http://priem.vogu35.ru/010302prikladnayamatematikaiinformatika,13.01.2026
4,Прикладная математика и информатика,Институт вычислительной математики и информационных технологий,бакалавриат,Казанский (Приволжский) федеральный университет,Казань,71,25,228096,247,"математика, физика, информатика, русский язык",4,очная,русский,TRUE,Физическая культура и спорт; Элективные курсы по физической культуре и спорту; Программирование и алгоритмические языки; Информатика; Иностранный язык; Деловой иностранный язык для программистов; История России; Основы российской государственности; Математический анализ; Алгебра и геометрия; Дискретная математика; Лабораторный практикум по информационно-компьютерным технологиям; Вопросы интеллектуальной собственности и лицензирования программных продуктов; Введение в информационную безопасность; Дифференциальные уравнения; Физика; Архитектура компьютера; Инновационная экономика и технологическое предпринимательство; Теория вероятностей и математическая статистика; Численные методы; Уравнения математической физики; Алгоритмы и структуры данных; Математическая логика; Теория сложности; Курсовая работа по направлению; Методы оптимизации; Базы данных; Русский язык и культура речи; Безопасность жизнедеятельности; Философия; Основы правоведения и противодействия коррупции; Дискретные и вероятностные модели вычислений; Web-технологии; Основы криптографии; Java-технологии; Введение в Java-технологии; Теория алгоритмов; Теория автоматов; Анализ и проектирование алгоритмов; Психология личной эффективности; Карьерная навигация; Теория игр и принятие решений; Основы профилактики и противодействия терроризму и экстремизму; Теория информации и кодирования; Командная разработка; Общая алгебра; Машинное обучение; Специализированные языки обработки информации; Основы квантовых алгоритмов; Современные web-технологии,https://admissions.kpfu.ru/programs/01-03-02-prikladnaya-matematika-i-informatik-2/?ysclid=mkcbcslkdu387602693,13.01.2026
5,Информатика и прикладная математика,"Институт управления, автоматизации и информационных технологий",бакалавриат,Казанский национальный исследовательский технологический университет,Казань,20,2,165000,236,"математика, физика, информатика, русский язык",4,очная,русский,TRUE,,https://www.kstu.ru/1leveltest.jsp?idparent=1572,13.01.2026
6,Информатика,Компьютерные науки и прикладная математика,бакалавриат,Московский авиационный институт,Москва,145,50,425000,275,"математика, физика, информатика, русский язык",4,очная,русский,TRUE,Программирование на Python; Фундаментальная информатика; Алгоритмы и структуры данных; Практикум программирования на С++; Операционные системы и архитектура компьютеров; Машинное обучение; Математический анализ; Линейная алгебра и тензорные вычисления; Теория вероятностей и математическая статистика; Дифференциальные уравнения; Психология и педагогика; Психология деловых отношений; Психология профессиональной деятельности; Социология; Инженерная социология; Социология организаций; Иностранный язык; История России; Основы российской государственности; Философия; Введение в авиационную и ракетно-космическую технику; Профориентационные мероприятия на предприятиях и в подразделениях МАИ в рамках распределенной практики; Введение в ТОП-10 IT-профессий; Правоведение; Информационное право; Правовые основы инженерной деятельности; Основы менеджмента; Теория и практика менеджмента; Менеджмент высокотехнологичного предприятия; Экономика и организация промышленности; Экономика и управление наукоемким производством; Экономика и организация НИОКР; Управление проектами; Жизненный цикл как основа технико-экономического обоснования высокотехнологичных проектов; Нечеткое управление; Принятие решений в управлении проектами; Политика командной работы; Программирование беспилотных систем; Моделирование и оптимизация систем; Базы данных; Параллельные и распределенные вычисления; Перспективные цифровые технологии; Дискретный анализ; Сетевое программирование; Облачные технологии; Информационный поиск; Криптография; Высоконагруженные сервисы; Мобильная разработка; Программная инженерия и микросервисная архитектура; Визуализация и компьютерная графика,https://priem.mai.ru/base/programs/informatika/,14.01.2026
7,Программирование и интеллектуальные системы управления транспортом,Транспортный факультет,бакалавриат,Московский политехнический университет,Москва,50,25,330700,221,"математика, физика, информатика, русский язык",4,очная,русский,TRUE,Введение в профессию; Деловые коммуникации; История России; Линейная алгебра; Методы и языки программирования; Основы механики; Основы российской государственности; Физическая культура и спорт; Физические основы оптоэлектроники; Введение в проектную деятельность; Конструкция и устройство современных транспортных средств; Математический анализ; Прикладные информационные технологии (ИИ); Учебная практика; Философия; Проектная деятельность; Управление проектами; Дифференциальные уравнения и комплексный анализ; Информационная безопасность; Основы материаловедения и сопротивления материалов; Основы экономического обоснования проектных решений; Программирование; Численные методы; Методы вычислений; Электроника современного транспортного средства; Основы технологического предпринимательства; Программирование микроконтроллеров; Теория автоматического управления транспортных средств; Теория автомобиля; Уравнения математической физики; Аналитическая динамика и теория колебаний; Безопасность жизнедеятельности; Интеллектуальные системы управления транспортом; Компьютерное зрение и распознавание образов в беспилотных системах (ИИ); Метод конечных элементов; Основы военной подготовки; Математическое моделирование технических систем; Планирование и организация эксперимента; Разработка электронных блоков управления; Социализация и социальная адаптация инвалидов и лиц с ограниченными возможностями здоровья; Теория вероятностей и математическая статистика; Динамика и прочность беспилотных транспортных средств; Композиционные конструкции беспилотных транспортных средств; Надежность механических и электронных систем; Нейронные сети / Искусственный интеллект в мобильных системах; Выполнение и защита выпускной квалификационной работы; Культурология / Конфликтология; Основы рационального проектирования; Правовые основы профессиональной деятельности.,https://mospolytech.ru/postupayushchim/programmy-obucheniya/intellektualnye-sistemy-upravleniya-transportom/?ysclid=mkdu18gbdi843280195,14.01.2026
8,Прикладная математика и информатика,Физтех-школа прикладной математики и информатики,бакалавриат,Московский физико-технический институт (Государственный университет),Москва,170,60,767000,303,"математика, информатика, русский язык",4,очная,русский,TRUE,Математический анализ; Алгебра; Дискретная математика; Вычислительная математика; Теория вероятностей и математическая статистика; Основы вероятности и теория меры; Безопасность жизнедеятельности; Физическая культура; Прикладная физическая культура; Принципы экономики; Алгоритмы и структуры данных; Практикум по алгоритмам и структурам данных; Программирование на языке С++; Введение в искусственный интеллект; Практикум Python; Технологии программирования; Архитектура компьютеров и операционные системы; Формальные языки и трансляции; Физические основы и логика моделирования; Базы данных; Параллельные и распределенные вычисления; Математическая логика и теория алгоритмов; Введение в анализ данных; Случайные процессы; Управление технологическими инновациями; Архитектура компьютеров и операционные системы. Дополнительные главы; Методы реализации алгоритмов; Программирование на Rust; Программирование на Go; Основы непрерывной интеграции. Devops; Языки программирования и теория компиляции; Практикум по прикладной IT-разработке; Теория и практика многопоточной синхронизации; Сложность вычислений; Дискретный анализ. Дополнительные главы; Основы криптографии; Сложность вычислений. Избранные главы; Full-stack разработка; Четырехмерная геометрия и топология; Теория узлов; Концепции теории игр; Дополнительные главы теории вероятностей и теории меры; Обзор задач и методов современной IT индустрии; Введение в методику преподавания; Математические основы 3D-визуализации; Машинное обучение; Математические модели машинного обучения; Разработка на Golang; Введение в стохастический анализ; Введение в топологическую комбинаторику; Теория представлений; Теория узлов. Дополнительные главы; Инварианты и картинки; Сюжеты из теории игр; Теоретико-числовые алгоритмы и криптография; Прикладные задачи IT индустрии; Методика преподавания. Часть 1; Машинное обучение. Дополнительные главы; Прикладные модели машинного обучения; Разработка IT-проектов; Стартап-преакселератор; Реализация научно-технических проектов; Проектирование программных систем; Математические модели и численные методы в финансах; Метапрограммирование; Запуск IT-проектов; Обзор задач и методов современной IT индустрии. Дополнительные главы; Методика преподавания. Часть 2; Проектирование высоконагруженных систем; Методика преподавания. Часть 3; Управление IT-проектами; Прикладные задачи IT индустрии. Дополнительные главы; История России: история и философия науки и технологий; История России: история и философия культуры; История России: философские проблемы взаимодействия России и мира; Английский язык; Китайский язык; Русский язык как иностранный для общих целей; Испанский язык; Французский язык; Немецкий язык; Инновационная практика; Подготовка к сдаче и сдача государственного экзамена по математике; Подготовка к сдаче и сдача государственного экзамена по информатике и дискретной математике; Выполнение и защита выпускной квалификационной работы,https://www.mipt.ru/education/programs/prikladnaya-matematika-i-informatika,14.01.2026
9,Прикладная математика и информатика,Кафедра системного анализа и информатики,бакалавриат,Набережночелнинский институт (филиал) Казанского (Приволжского) федерального университета,Набережные Челны,20,1,209952,189,"математика, физика, информатика, русский язык",4,очная,русский,TRUE,"Философия; История России; Иностранный язык; Безопасность жизнедеятельности; Физическая культура и спорт; Информатика и информационные технологии; Математический анализ; Дифференциальные уравнения; Комплексный анализ; Программирование и алгоритмизация; Теоретическая и прикладная механика; Дискретная математика; Теория вероятностей и математическая статистика; Экономика предприятий и организаций; Алгебра и геометрия; Физика; Архитектура вычислительных систем и операционные системы; Языки и методы программирования; Основы правоведения и противодействия коррупции; Психология; Введение в профессиональную деятельность; Пакеты прикладных программ; Функциональный анализ и интегральные уравнения; Элективные курсы по физической культуре и спорту; Анализ данных с использованием языка Python; Методы машинного обучения; Технологическая практика; Преддипломная практика; Основы библиотечных, библиографических и информационных знаний; Психология личной эффективности; Русский язык и культура речи",https://kpfu.ru/chelny/abitur/bachelor/napravleniya-podgotovki-specialnosti/primat,14.01.2026
10,Прикладная математика и информатика,"Институт информационных технологий, математики и механики",бакалавриат,Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского,Нижний Новгород,55,5,225000,232,"математика, физика, информатика, русский язык",4,очная,русский,TRUE,Математический анализ; Теория управления; Алгоритмы и структуры данных; Дифференциальные уравнения; Уравнения математической физики; Алгебра и геометрия; Численные методы; Дискретная математика; Методы оптимизации; Теория вероятностей и математическая статистика; Языки и методы программирования; Эффективные алгоритмы и структуры данных; Целочисленное программирование; Операционные системы; Компьютерное моделирование вероятностных процессов; Архитектура вычислительных систем; Базы данных; Компьютерная графика; Вероятностные модели; Параллельное программирование для кластерных систем; Введение в биоинформатику; Дискретная оптимизация; Теория кодирования; Основы компьютерного зрения; Асимптотические методы теории колебаний и волн; Профессиональный C++,https://itmm.unn.ru/courses/pmi/?ysclid=mkeb5cfsth226153742,14.01.2026
