id,program_code,name,faculty,level,university_name,city,budget_places,paid_places,tuition_cost_rub_year,budget_passing_score,paid_min_score,duration,study_format,language,accreditation
1,01.05.01 | Фундаментальная математика и механика,Математика,Механико-математический факультет МГУ,Специалитет,Московский государственный университет имени М.В. Ломоносова,Москва,250.0,50.0,512810.0,322.0,225.0,6 лет,Очная,Русский,государственный
2,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Компьютерные науки и прикладная математика МАИ,Бакалавриат,Московский авиационный институт,Москва,145.0,50.0,425000.0,275.0,,4 года,Очная,Русский,государственный
3,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Факультет компьютерных наук НИУ ВШЭ,Бакалавриат,Национальный исследовательский университет «Высшая школа экономики»,Москва,180.0,220.0,850000.0,,,4 года,Очная,Русский,государственный
4,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Физтех-школа прикладной математики и информатики,Бакалавриат,Московский физико-технический институт (Государственный университет),Москва,170.0,60.0,767000.0,303.0,,4 года,Очная,Русский,государственный
5,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Факультет инженерной экологии и городского хозяйства,Бакалавриат,Санкт-Петербургский государственный архитектурно-строительный университет,Санкт-Пете..,54.0,36.0,262800.0,220.0,,4 года,Очная,Русский,государственный
6,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Факультет математики РГПУ,Бакалавриат,Российский государственный педагогический университет имени А. И. Герцена,Санкт-Пете..,12.0,9.0,245500.0,233.0,,4 года,Очная,Русский,государственный
7,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Факультет компьютерных технологий и информатики СПбГЭТУ,Бакалавриат,Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина),Санкт-Пете..,100.0,80.0,284000.0,259.0,,4 года,Очная,Русский,государственный
8,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт фундаментальной подготовки и технологических инноваций ГУАП,Бакалавриат,Санкт-Петербургский государственный университет аэрокосмического приборостроения,Санкт-Пете..,7.0,8.0,270000.0,270.0,,4 года,Очная,Русский,государственный
9,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Высшая школа технологии и энергетики СПбГУПТД,Бакалавриат,Санкт-Петербургский государственный университет промышленных технологий и дизайна,Санкт-Пете..,,13.0,200000.0,,,4 года,Очная,Русский,государственный
10,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт вычислительной математики и информационных технологий КФУ,Бакалавриат,Казанский (Приволжский) федеральный университет,Казань,71.0,25.0,228096.0,247.0,,4 года,Очная,Русский,государственный
11,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,"Институт управления, автоматизации и информационных технологий КНИТУ",Бакалавриат,Казанский национальный исследовательский технологический университет,Казань,20.0,2.0,165000.0,236.0,,4 года,Очная,Русский,государственный
12,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,"Институт информационных технологий, математики и механики ННГУ им. Лобачевского",Бакалавриат,Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского,Нижний Нов..,55.0,5.0,225000.0,232.0,,4 года,Очная,Русский,государственный
13,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт информатики и кибернетики СГАУ,Бакалавриат,Самарский национальный исследовательский университет имени академика С.П. Королева,Самара,80.0,5.0,186900.0,231.0,,4 года,Очная,Русский,государственный
