id,program_code,name,faculty,level,university_name,city,budget_places,paid_places,tuition_cost_rub_year,budget_passing_score,paid_min_score,duration,study_format,language,accreditation,total_places,budget_ratio,tuition_log,paid_min_score_missing,budget_score_missing,cluster_raw,competitiveness_class
1,01.05.01 | Фундаментальная математика и механика,Математика,Механико-математический факультет МГУ,Специалитет,Московский государственный университет имени М.В. Ломоносова,Москва,250.0,50.0,512810.0,322.0,225.0,0.0,Очная,Русский,государственный,300.0,0.8333333333333334,13.147662635216566,0,0,1,2
2,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Компьютерные науки и прикладная математика МАИ,Бакалавриат,Московский авиационный институт,Москва,145.0,50.0,425000.0,275.0,,0.0,Очная,Русский,государственный,195.0,0.7435897435897436,12.959846800844963,0,0,1,2
3,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Факультет компьютерных наук НИУ ВШЭ,Бакалавриат,Национальный исследовательский университет «Высшая школа экономики»,Москва,180.0,220.0,850000.0,,,0.0,Очная,Русский,государственный,400.0,0.45,13.652992804936396,0,0,1,2
4,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Физтех-школа прикладной математики и информатики,Бакалавриат,Московский физико-технический институт (Государственный университет),Москва,170.0,60.0,767000.0,303.0,,0.0,Очная,Русский,государственный,230.0,0.7391304347826086,13.550243384129509,0,0,1,2
5,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Факультет инженерной экологии и городского хозяйства,Бакалавриат,Санкт-Петербургский государственный архитектурно-строительный университет,Санкт-Пете..,54.0,36.0,262800.0,220.0,,0.0,Очная,Русский,государственный,90.0,0.6,12.47915237076039,0,0,1,2
6,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Факультет математики РГПУ,Бакалавриат,Российский государственный педагогический университет имени А. И. Герцена,Санкт-Пете..,12.0,9.0,245500.0,233.0,,0.0,Очная,Русский,государственный,21.0,0.5714285714285714,12.411056299528171,0,0,0,0
7,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Факультет компьютерных технологий и информатики СПбГЭТУ,Бакалавриат,Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина),Санкт-Пете..,100.0,80.0,284000.0,259.0,,0.0,Очная,Русский,государственный,180.0,0.5555555555555556,12.556733038263905,0,0,1,2
8,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт фундаментальной подготовки и технологических инноваций ГУАП,Бакалавриат,Санкт-Петербургский государственный университет аэрокосмического приборостроения,Санкт-Пете..,7.0,8.0,270000.0,270.0,,0.0,Очная,Русский,государственный,15.0,0.4666666666666667,12.506180941677357,0,0,0,0
9,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Высшая школа технологии и энергетики СПбГУПТД,Бакалавриат,Санкт-Петербургский государственный университет промышленных технологий и дизайна,Санкт-Пете..,,13.0,200000.0,,,0.0,Очная,Русский,государственный,,0.0,12.206077645517674,0,0,0,0
10,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт вычислительной математики и информационных технологий КФУ,Бакалавриат,Казанский (Приволжский) федеральный университет,Казань,71.0,25.0,228096.0,247.0,,0.0,Очная,Русский,государственный,96.0,0.7395833333333334,12.337526256059729,0,0,1,2
11,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,"Институт управления, автоматизации и информационных технологий КНИТУ",Бакалавриат,Казанский национальный исследовательский технологический университет,Казань,20.0,2.0,165000.0,236.0,,0.0,Очная,Русский,государственный,22.0,0.9090909090909091,12.013706813470414,0,0,0,0
12,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,"Институт информационных технологий, математики и механики ННГУ им. Лобачевского",Бакалавриат,Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского,Нижний Нов..,55.0,5.0,225000.0,232.0,,0.0,Очная,Русский,государственный,60.0,0.9166666666666666,12.323860125621126,0,0,0,0
13,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт информатики и кибернетики СГАУ,Бакалавриат,Самарский национальный исследовательский университет имени академика С.П. Королева,Самара,80.0,5.0,186900.0,231.0,,0.0,Очная,Русский,государственный,85.0,0.9411764705882353,12.138334343884129,0,0,1,2
14,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт автоматики и информационных технологий,Бакалавриат,Самарский государственный технический университет,Самара,30.0,10.0,145030.0,210.0,,0.0,Очная,Русский,государственный,40.0,0.75,11.884702791655672,0,0,0,0
15,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт компьютерных наук и технологий ПГНИУ,Бакалавриат,Пермский государственный национальный исследовательский университет,Пермь,65.0,,,177.0,,0.0,Очная,Русский,государственный,,0.0,,0,0,0,0
16,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт прикладной математики и компьютерных наук ТГУ,Бакалавриат,Национальный исследовательский Томский государственный университет,Томск,30.0,10.0,177000.0,199.0,,0.0,Очная,Русский,государственный,40.0,0.75,12.083910661257521,0,0,0,0
17,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт математики и информационных технологий ОГУ,Бакалавриат,Оренбургский государственный университет,Оренбург,25.0,100.0,153000.0,157.0,,0.0,Очная,Русский,государственный,125.0,0.2,11.938199736300925,0,0,2,1
18,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Факультет компьютерной математики Севастопольского филиала МГУ,Бакалавриат,Филиал Московского государственного университета имени М.В. Ломоносова в городе Севастополе,Севастопол..,15.0,10.0,332570.0,274.0,126.0,0.0,Очная,Русский,государственный,25.0,0.6,12.714608650117528,0,0,0,0
19,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,"Школа информатики, физики и технологий НИУ ВШЭ — Санкт-Петербург",Бакалавриат,Национальный исследовательский университет «Высшая школа экономики» — Санкт-Петербург,Санкт-Пете..,30.0,30.0,490000.0,289.0,,0.0,Очная,Русский,государственный,60.0,0.5,13.102162710901053,0,0,1,2
20,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Высшая техническая школа НЧФ КФУ,Бакалавриат,Набережночелнинский институт КФУ (филиал),Набережные..,20.0,1.0,209952.0,189.0,119.0,0.0,Очная,Русский,государственный,21.0,0.9523809523809523,12.254638975126706,0,0,0,0
21,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Транспортный факультет,Бакалавриат,Московский политехнический университет,Москва,50.0,25.0,330700.0,221.0,,0.0,Очная,Русский,государственный,75.0,0.6666666666666666,12.708969922854033,0,0,1,2
22,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Факультет информационных технологий и математики НВГУ,Бакалавриат,Нижневартовский государственный университет,Нижневартовск,14.0,11.0,296000.0,177.0,,0.0,Очная,Русский,государственный,25.0,0.56,12.598118111678868,0,0,0,0
23,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Факультет информационных технологий и математики НВГУ,Бакалавриат,Нижневартовский государственный университет,Нижневартовск,,25.0,99000.0,,,0.0,Очно-заочная,Русский,государственный,,0.0,11.502885230075814,0,0,2,1
24,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт электронных и информационных систем НовГУ,Бакалавриат,Новгородский государственный университет имени Ярослава Мудрого,Великий Но..,25.0,,,172.0,,0.0,Очная,Русский,государственный,,0.0,,0,0,2,1
25,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,"Институт математики, естественных и компьютерных наук ВоГУ",Бакалавриат,Вологодский государственный университет,Вологда,25.0,5.0,154030.0,166.0,119.0,0.0,Очная,Русский,государственный,30.0,0.8333333333333334,11.9449091598392,0,0,0,0
26,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт компьютерных и инженерных наук АмГУ,Бакалавриат,Амурский государственный университет,Благовещенск,17.0,10.0,185100.0,152.0,119.0,0.0,Очная,Русский,государственный,27.0,0.6296296296296297,12.128656901032139,0,0,0,0
27,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,"Институт математики, физики и информационных технологий ЧГУ им. А.А. Кадырова",Бакалавриат,Чеченский государственный университет имени Ахмата Абдулхамидовича Кадырова,Грозный,71.0,15.0,113525.0,124.0,,0.0,Очная,Русский,государственный,86.0,0.8255813953488372,11.639787164559817,0,0,0,0
28,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,"Институт математики, физики и информационных технологий ЧГУ им. А.А. Кадырова",Бакалавриат,Чеченский государственный университет имени Ахмата Абдулхамидовича Кадырова,Грозный,20.0,25.0,39748.0,120.0,,0.0,Очно-заочная,Русский,государственный,45.0,0.4444444444444444,10.590339962533324,0,0,2,1
